Time,Acc,Prs
0,487,746
0.005,450,746
0.01,407,746
0.015,361,744
0.02,376,744
0.025,386,747
0.03,386,745
0.035,387,745
0.04,370,746
0.045,374,744
0.05,371,744
0.055,373,742
0.06,382,746
0.065,373,745
0.07,371,745
0.075,368,745
0.08,368,746
0.085,374,746
0.09,386,745
0.095,377,746
0.1,378,745
0.105,380,744
0.11,384,745
0.115,383,745
0.12,379,745
0.125,380,744
0.13,382,745
0.135,375,745
0.14,379,745
0.145,376,745
0.15,376,745
0.155,377,745
0.16,377,744
0.165,374,744
0.17,375,745
0.175,376,745
0.18,375,745
0.185,376,746
0.19,374,744
0.195,376,744
0.2,375,744
0.205,376,745
0.21,377,745
0.215,376,744
0.22,377,743
0.225,378,744
0.23,377,744
0.235,377,744
0.24,375,744
0.245,378,744
0.25,379,744
0.255,379,744
0.26,379,744
0.265,378,744
0.27,379,743
0.275,380,744
0.28,379,744
0.285,378,743
0.29,378,743
0.295,377,743
0.3,379,743
0.305,380,743
0.31,379,742
0.315,379,743
0.32,378,743
0.325,378,743
0.33,379,742
0.335,380,743
0.34,379,743
0.345,380,742
0.35,380,743
0.355,382,743
0.36,380,742
0.365,381,742
0.37,381,742
0.375,382,742
0.38,381,742
0.385,381,741
0.39,381,741
0.395,382,741
0.4,382,741
0.405,383,741
0.41,383,741
0.415,383,741
0.42,383,740
0.425,384,741
0.43,384,740
0.435,385,740
0.44,386,740
0.445,386,740
0.45,386,740
0.455,385,740
0.46,387,740
0.465,387,740
0.47,387,739
0.475,387,739
0.48,389,740
0.485,388,740
0.49,388,740
0.495,389,739
0.5,390,739
0.505,390,740
0.51,390,740
0.515,390,740
0.52,391,740
0.525,391,740
0.53,392,740
0.535,394,740
0.54,393,741
0.545,394,741
0.55,393,740
0.555,394,741
0.56,394,740
0.565,396,741
0.57,396,741
0.575,396,741
0.58,396,741
0.585,396,741
0.59,398,741
0.595,398,741
0.6,398,741
0.605,399,741
0.61,399,741
0.615,400,741
0.62,400,741
0.625,401,741
0.63,401,740
0.635,401,740
0.64,402,740
0.645,402,740
0.65,402,740
0.655,402,740
0.66,402,740
0.665,404,740
0.67,404,740
0.675,403,740
0.68,405,740
0.685,406,741
0.69,405,741
0.695,407,740
0.7,409,740
0.705,409,740
0.71,410,740
0.715,410,740
0.72,411,741
0.725,409,740
0.73,412,740
0.735,412,740
0.74,414,740
0.745,415,740
0.75,416,740
0.755,416,740
0.76,417,740
0.765,417,740
0.77,418,739
0.775,418,740
0.78,419,740
0.785,419,740
0.79,420,739
0.795,421,740
0.8,422,740
0.805,422,739
0.81,422,740
0.815,424,738
0.82,425,739
0.825,426,738
0.83,425,739
0.835,426,738
0.84,427,738
0.845,428,738
0.85,428,737
0.855,428,737
0.86,428,738
0.865,429,736
0.87,430,737
0.875,429,738
0.88,429,737
0.885,431,737
0.89,430,737
0.895,433,736
